model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
meta-llama/Meta-Llama-3-8B-Instruct,1617716,4741,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3,,8030261248,5B-10B,2024-04-17T09:35:12.000Z,2025-06-18T23:49:51.000Z
apple/OpenELM-1_1B-Instruct,1612208,75,text-generation,Text Generation,transformers,"safetensors, transformers",apple-amlr,2404.14619,1079891456,1B-5B,2024-04-12T21:52:12.000Z,2025-02-28T18:31:24.000Z
google/gemma-3-270m,1589733,1053,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",gemma,2503.19786,268098176,100M-1B,2025-08-05T18:50:31.000Z,2025-08-14T07:35:01.000Z
nvidia/Qwen3.6-27B-NVFP4,1572648,383,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",apache-2.0,,18164649200,10B-20B,2026-06-22T12:24:08.000Z,2026-06-30T14:40:07.000Z
meta-llama/Llama-3.1-8B,1566554,2336,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.1,2204.05149,8030261248,5B-10B,2024-07-14T22:20:15.000Z,2024-10-16T22:00:37.000Z
Qwen/Qwen3-Coder-30B-A3B-Instruct,1547146,1170,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2505.09388,30532122624,20B-50B,2025-07-31T07:04:55.000Z,2025-12-03T08:05:17.000Z
deepseek-ai/DeepSeek-V4-Pro,1493095,5283,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2606.19348,861608274846,100B+,2026-04-22T06:04:45.000Z,2026-06-22T12:12:50.000Z
zai-org/GLM-5-FP8,1471884,181,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2602.15763,753910024032,100B+,2026-02-11T04:05:41.000Z,2026-04-05T07:51:12.000Z
meta-llama/Meta-Llama-3-8B,1471063,6612,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3,,8030261248,5B-10B,2024-04-17T09:35:16.000Z,2024-09-27T15:52:33.000Z
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,1444187,168,text-generation,Text Generation,transformers,"pytorch, safetensors, transformers",other,2512.20848,18237772608,10B-20B,2025-12-20T09:12:40.000Z,2026-03-15T04:27:10.000Z
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,1416691,0,text-generation,Text Generation,,safetensors,apache-2.0,2210.17323,1837205840,1B-5B,2024-08-23T15:49:54.000Z,2024-10-09T20:00:05.000Z
deepreinforce-ai/Ornith-1.0-35B,1408701,428,text-generation,Text Generation,transformers,"safetensors, transformers",mit,,664944,<100M,2026-06-21T03:30:07.000Z,2026-06-25T14:30:28.000Z
prism-ml/Bonsai-27B-gguf,1404962,579,text-generation,Text Generation,llama.cpp,"gguf, llama.cpp",apache-2.0,,,Unknown,2026-07-04T00:24:38.000Z,2026-07-17T16:05:42.000Z
Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,1400681,191,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2505.09388,30533947392,20B-50B,2025-07-31T08:14:11.000Z,2025-12-03T08:20:23.000Z
Qwen/Qwen2.5-Coder-32B-Instruct,1380590,2083,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,32763876352,20B-50B,2024-11-06T07:49:50.000Z,2025-01-12T02:02:22.000Z
nvidia/GLM-5.2-NVFP4,1356729,276,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",mit,,380989135104,100B+,2026-06-22T19:55:57.000Z,2026-06-26T23:49:20.000Z
